datetime,open,high,low,close,volume,oi
2023-04-19 12:45:00+05:30,38652.35,38661.95,38575.1,38586.95,0,0
2023-04-19 13:15:00+05:30,38586.75,38601.95,38484.25,38484.25,0,0
2023-04-19 13:45:00+05:30,38485.1,38492.45,38457.35,38460.7,0,0
2023-04-19 14:15:00+05:30,38461.55,38509.95,38437.5,38477.35,0,0
2023-04-19 14:45:00+05:30,38479.15,38511.6,38439.0,38477.15,0,0
2023-04-19 15:15:00+05:30,38476.6,38478.35,38417.2,38437.5,0,0
2023-04-20 09:15:00+05:30,38513.5,38567.35,38432.1,38530.9,0,0
2023-04-20 09:45:00+05:30,38531.5,38562.15,38454.35,38541.0,0,0
2023-04-20 10:15:00+05:30,38542.4,38570.0,38508.8,38540.85,0,0
2023-04-20 10:45:00+05:30,38541.3,38581.3,38539.25,38560.95,0,0
2023-04-20 11:15:00+05:30,38558.95,38577.35,38543.3,38543.35,0,0
2023-04-20 11:45:00+05:30,38541.95,38576.95,38532.2,38538.5,0,0
2023-04-20 12:15:00+05:30,38537.55,38543.05,38492.1,38500.6,0,0
2023-04-20 12:45:00+05:30,38500.15,38509.25,38446.1,38458.6,0,0
2023-04-20 13:15:00+05:30,38458.7,38496.3,38447.75,38468.4,0,0
2023-04-20 13:45:00+05:30,38468.0,38499.6,38414.55,38422.7,0,0
2023-04-20 14:15:00+05:30,38423.65,38487.6,38419.25,38473.2,0,0
2023-04-20 14:45:00+05:30,38472.45,38491.25,38452.7,38491.25,0,0
2023-04-20 15:15:00+05:30,38490.55,38496.05,38443.5,38467.35,0,0
2023-04-21 09:15:00+05:30,38524.0,38543.7,38407.25,38423.05,0,0
2023-04-21 09:45:00+05:30,38424.15,38439.55,38348.7,38409.4,0,0
2023-04-21 10:15:00+05:30,38409.6,38413.35,38318.2,38363.25,0,0
2023-04-21 10:45:00+05:30,38362.5,38388.0,38348.85,38373.65,0,0
2023-04-21 11:15:00+05:30,38373.8,38396.95,38366.0,38392.9,0,0
2023-04-21 11:45:00+05:30,38394.6,38416.15,38374.75,38398.05,0,0
2023-04-21 12:15:00+05:30,38398.9,38407.25,38367.45,38369.8,0,0
2023-04-21 12:45:00+05:30,38370.1,38379.3,38303.35,38327.15,0,0
2023-04-21 13:15:00+05:30,38326.1,38418.75,38325.6,38409.75,0,0
2023-04-21 13:45:00+05:30,38408.2,38442.7,38385.95,38407.6,0,0
2023-04-21 14:15:00+05:30,38406.25,38462.7,38383.1,38414.05,0,0
2023-04-21 14:45:00+05:30,38414.75,38464.85,38388.1,38445.7,0,0
2023-04-21 15:15:00+05:30,38448.1,38453.05,38399.4,38413.1,0,0
2023-04-24 09:15:00+05:30,38521.75,38551.25,38382.05,38392.15,0,0
2023-04-24 09:45:00+05:30,38393.8,38522.45,38393.0,38510.7,0,0
2023-04-24 10:15:00+05:30,38509.15,38509.15,38448.85,38452.55,0,0
2023-04-24 10:45:00+05:30,38452.5,38509.1,38450.95,38503.7,0,0
2023-04-24 11:15:00+05:30,38503.4,38521.55,38459.65,38470.9,0,0
2023-04-24 11:45:00+05:30,38470.95,38493.05,38459.1,38484.65,0,0
2023-04-24 12:15:00+05:30,38485.8,38490.0,38463.15,38463.6,0,0
2023-04-24 12:45:00+05:30,38465.1,38512.85,38464.55,38511.0,0,0
2023-04-24 13:15:00+05:30,38511.35,38530.35,38499.05,38509.7,0,0
2023-04-24 13:45:00+05:30,38510.45,38548.55,38500.95,38542.25,0,0
2023-04-24 14:15:00+05:30,38542.55,38550.45,38511.6,38533.6,0,0
2023-04-24 14:45:00+05:30,38534.55,38586.7,38534.55,38582.6,0,0
2023-04-24 15:15:00+05:30,38582.35,38592.5,38549.6,38587.35,0,0
2023-04-25 09:15:00+05:30,38613.4,38653.15,38574.95,38639.1,0,0
2023-04-25 09:45:00+05:30,38637.35,38739.6,38633.4,38726.8,0,0
2023-04-25 10:15:00+05:30,38726.1,38779.15,38718.15,38778.55,0,0
