datetime,open,high,low,close
2022-06-01T12:45:00+05:30,16582.35,16585.9,16543,16543
2022-06-01T12:15:00+05:30,16586.35,16587.3,16560.85,16582.2
2022-06-01T11:45:00+05:30,16605,16618.5,16576.45,16586.3
2022-06-01T11:15:00+05:30,16587.9,16612.45,16568.2,16604.05
2022-06-01T10:45:00+05:30,16613.05,16616.8,16579.9,16588.45
2022-06-01T10:15:00+05:30,16583.7,16632.25,16583.6,16613.15
2022-06-01T09:45:00+05:30,16571.95,16602.6,16538.15,16584.05
2022-06-01T09:15:00+05:30,16594.4,16648.5,16565,16572.45
2022-05-31T15:15:00+05:30,16557.75,16583.6,16532.45,16578.25
2022-05-31T14:45:00+05:30,16652.4,16667.35,16556.8,16556.8
2022-05-31T14:15:00+05:30,16670.9,16681.8,16638.6,16652.55
2022-05-31T13:45:00+05:30,16655.7,16690.65,16653.35,16671.4
2022-05-31T13:15:00+05:30,16619.85,16667.1,16614.95,16655.6
2022-05-31T12:45:00+05:30,16635.45,16641.85,16601.05,16619.45
2022-05-31T12:15:00+05:30,16658,16666.95,16624.45,16635.1
2022-05-31T11:45:00+05:30,16630.05,16670.25,16611.05,16658.5
2022-05-31T11:15:00+05:30,16648.35,16656.2,16627.9,16629.8
2022-05-31T10:45:00+05:30,16640.25,16662.3,16628.75,16649.05
2022-05-31T10:15:00+05:30,16591.9,16642.5,16578.15,16640.3
2022-05-31T09:45:00+05:30,16558.75,16596.9,16553.05,16591.8
2022-05-31T09:15:00+05:30,16578.45,16593.55,16522.2,16558.85
2022-05-30T15:15:00+05:30,16658.9,16672.7,16652.7,16668.2
2022-05-30T14:45:00+05:30,16628.55,16671.25,16627,16660.75
2022-05-30T14:15:00+05:30,16628.5,16652.4,16612.2,16629.4
2022-05-30T13:45:00+05:30,16660.5,16664.8,16625.85,16627.75
2022-05-30T13:15:00+05:30,16670.2,16672.95,16650.65,16660.75
2022-05-30T12:45:00+05:30,16664.7,16675.25,16637.1,16670.1
2022-05-30T12:15:00+05:30,16666.25,16672.95,16638.45,16664.7
2022-05-30T11:45:00+05:30,16693.45,16694.65,16658.9,16666.6
2022-05-30T11:15:00+05:30,16688.6,16695.2,16661.15,16693.65
2022-05-30T10:45:00+05:30,16637.05,16688.15,16630.8,16686.95
2022-05-30T10:15:00+05:30,16628.2,16640.1,16610,16637.2
2022-05-30T09:45:00+05:30,16595.55,16633.35,16593.75,16628.05
2022-05-30T09:15:00+05:30,16527.9,16611.65,16515.5,16596.55
2022-05-27T15:15:00+05:30,16346.2,16366.8,16342.95,16356.1
2022-05-27T14:45:00+05:30,16309.15,16359.3,16304.75,16346.05
2022-05-27T14:15:00+05:30,16339.35,16346.8,16296.4,16309.15
2022-05-27T13:45:00+05:30,16348.9,16370.45,16288.25,16340.05
2022-05-27T13:15:00+05:30,16317.05,16350.15,16309.6,16348.35
2022-05-27T12:45:00+05:30,16292.35,16324.2,16277.1,16316.9
2022-05-27T12:15:00+05:30,16237.4,16303.2,16230.6,16292.2
2022-05-27T11:45:00+05:30,16258.2,16273.45,16223.95,16237.5
2022-05-27T11:15:00+05:30,16253.8,16279.1,16236.65,16257.25
2022-05-27T10:45:00+05:30,16281.3,16282.7,16236.3,16253.3
2022-05-27T10:15:00+05:30,16280,16292.6,16235.1,16281.75
2022-05-27T09:45:00+05:30,16319.5,16323,16253.65,16280.2
2022-05-27T09:15:00+05:30,16296.6,16328.85,16275.95,16319.3
2022-05-26T15:15:00+05:30,16173,16203.4,16172.7,16201.55
2022-05-26T14:45:00+05:30,16143.65,16186.15,16131.7,16172.25
2022-05-26T14:15:00+05:30,16081.1,16147.75,16081.1,16143.85
2022-05-26T13:45:00+05:30,16142,16149,16063.8,16082.6
2022-05-26T13:15:00+05:30,16095.7,16164,16095.7,16142.35
2022-05-26T12:45:00+05:30,15969.6,16094.6,15961.45,16094.15
2022-05-26T12:15:00+05:30,15942.75,15971.8,15923.2,15969.7
2022-05-26T11:45:00+05:30,15915,15948.5,15914.65,15942.85
2022-05-26T11:15:00+05:30,15928.2,15951.45,15904.15,15915.6
2022-05-26T10:45:00+05:30,15944.15,15946.1,15910.75,15929.35
2022-05-26T10:15:00+05:30,16021.1,16035.95,15931.05,15944.1
2022-05-26T09:45:00+05:30,16036.45,16064,16013.55,16021.05
2022-05-26T09:15:00+05:30,16105,16128.3,16035.65,16037.25
2022-05-25T15:15:00+05:30,16027.45,16040.6,16021.25,16037.8
2022-05-25T14:45:00+05:30,16040.4,16043.5,16007.25,16027.7
2022-05-25T14:15:00+05:30,16083.1,16097.55,16041.55,16041.55
2022-05-25T13:45:00+05:30,16027.75,16092.5,16009.35,16083.35
2022-05-25T13:15:00+05:30,16070.3,16076.4,16014.85,16027.1
2022-05-25T12:45:00+05:30,16065.65,16075.7,16036.2,16069.6
2022-05-25T12:15:00+05:30,16076.65,16101.8,16063.7,16065.85
2022-05-25T11:45:00+05:30,16097.75,16097.75,16052.95,16076.15
2022-05-25T11:15:00+05:30,16164.2,16167.5,16090.2,16097.55
2022-05-25T10:45:00+05:30,16141,16164.45,16131.2,16163.75
2022-05-25T10:15:00+05:30,16134.75,16156.85,16115.3,16140.7
2022-05-25T09:45:00+05:30,16164.1,16171.7,16121.25,16134.2
2022-05-25T09:15:00+05:30,16196.35,16222.95,16159.2,16163.7
2022-05-24T15:15:00+05:30,16112.9,16139.5,16112.25,16139.5
2022-05-24T14:45:00+05:30,16106.1,16149.15,16079.1,16112.75
2022-05-24T14:15:00+05:30,16148.25,16167.9,16081.7,16106.55
2022-05-24T13:45:00+05:30,16190.65,16193.35,16141.05,16148.5
2022-05-24T13:15:00+05:30,16162.95,16197.85,16146.2,16192.1
2022-05-24T12:45:00+05:30,16221.4,16260.7,16152.5,16162.25
2022-05-24T12:15:00+05:30,16200.4,16238.05,16193.25,16221.15
2022-05-24T11:45:00+05:30,16222.3,16242.5,16171.1,16199.85
2022-05-24T11:15:00+05:30,16152.9,16219.3,16144.85,16218
2022-05-24T10:45:00+05:30,16157.8,16177.45,16149.95,16153.6
2022-05-24T10:15:00+05:30,16148.8,16186.15,16117.6,16157.95
2022-05-24T09:45:00+05:30,16166.65,16190.65,16134,16148.7
2022-05-24T09:15:00+05:30,16225.55,16261.7,16155.6,16166.45
2022-05-23T15:15:00+05:30,16210.1,16221.45,16187.45,16191.65
2022-05-23T14:45:00+05:30,16251,16277.65,16199.95,16210.4
2022-05-23T14:15:00+05:30,16264.3,16287.95,16233.85,16249.45
2022-05-23T13:45:00+05:30,16372.75,16384.5,16253.85,16268.5
2022-05-23T13:15:00+05:30,16352.45,16414.35,16351.35,16372.3
2022-05-23T12:45:00+05:30,16354.05,16372.95,16342.75,16352.05
2022-05-23T12:15:00+05:30,16377.55,16393.3,16338.8,16354.4
2022-05-23T11:45:00+05:30,16366.3,16379.4,16354,16377.6
2022-05-23T11:15:00+05:30,16337.35,16381.85,16336.4,16365.75
